title,genres_clean,companies_names,director
toy story,"Animation, Comedy, Family",Pixar Animation Studios,John Lasseter
jumanji,"Adventure, Fantasy, Family","TriStar Pictures, Teitler Film, Interscope Communications",Joe Johnston
grumpier old men,"Romance, Comedy","Warner Bros., Lancaster Gate",Howard Deutch
waiting to exhale,"Comedy, Drama, Romance",Twentieth Century Fox Film Corporation,Forest Whitaker
father of the bride part ii,Comedy,"Sandollar Productions, Touchstone Pictures",Charles Shyer
heat,"Action, Crime, Drama, Thriller","Regency Enterprises, Forward Pass, Warner Bros.",Michael Mann
sabrina,"Comedy, Romance","Paramount Pictures, Scott Rudin Productions, Mirage Enterprises, Sandollar Productions, Constellation Entertainment, Worldwide, Mont Blanc Entertainment GmbH",Sydney Pollack
tom and huck,"Action, Adventure, Drama, Family",Walt Disney Pictures,Peter Hewitt
sudden death,"Action, Adventure, Thriller","Universal Pictures, Imperial Entertainment, Signature Entertainment",Peter Hyams
goldeneye,"Adventure, Action, Thriller","United Artists, Eon Productions",Martin Campbell
the american president,"Comedy, Drama, Romance","Columbia Pictures, Castle Rock Entertainment",Rob Reiner
dracula: dead and loving it,"Comedy, Horror","Columbia Pictures, Castle Rock Entertainment, Enigma Pictures",Mel Brooks
balto,"Family, Animation, Adventure","Universal Pictures, Amblin Entertainment, Amblimation",Simon Wells
nixon,"History, Drama","Hollywood Pictures, Cinergi Pictures Entertainment",Oliver Stone
cutthroat island,"Action, Adventure","Le Studio Canal+, Laurence Mark Productions, Metro-Goldwyn-Mayer (MGM), Carolco Pictures",Renny Harlin
casino,"Drama, Crime","Universal Pictures, Légende Entreprises, Syalis DA, De Fina-Cappa",Martin Scorsese
sense and sensibility,"Drama, Romance","Columbia Pictures Corporation, Mirage Enterprises",Ang Lee
four rooms,"Crime, Comedy","Miramax Films, A Band Apart",Allison Anders
ace ventura: when nature calls,"Crime, Comedy, Adventure","O Entertainment, Warner Bros., Morgan Creek Productions",Steve Oedekerk
money train,"Action, Comedy, Crime",Columbia Pictures,Joseph Ruben
get shorty,"Comedy, Thriller, Crime","Jersey Films, Metro-Goldwyn-Mayer (MGM)",Barry Sonnenfeld
copycat,"Drama, Thriller","Regency Enterprises, New Regency Pictures",Jon Amiel
assassins,"Action, Adventure, Crime, Thriller","Silver Pictures, Canal+, Warner Bros., Dino De Laurentiis Company, Donner/Shuler-Donner Productions, Evansgideon/Lazar",Richard Donner
powder,"Drama, Fantasy, Science Fiction, Thriller","Caravan Pictures, Hollywood Pictures",Victor Salva
leaving las vegas,"Drama, Romance","United Artists, Intial Productions",Mike Figgis
othello,Drama,"Columbia Pictures, Castle Rock Entertainment",Oliver Parker
now and then,"Comedy, Drama, Family",New Line Cinema,Lesli Linka Glatter
persuasion,"Drama, Romance",BBC Films,Roger Michell
the city of lost children,"Fantasy, Science Fiction, Adventure","Procirep, Constellation Productions, France 3 Cinéma, Claudie Ossard Productions, Eurimages, MEDIA Programme of the European Union, Cofimage 5, Televisión Española (TVE), Tele München Fernseh Produktionsgesellschaft (TMG), Club d'Investissement Média, Canal+ España, Elías Querejeta Producciones Cinematográficas S.L., Centre National de la Cinématographie (CNC), Victoires Productions, Constellation, Lumière Pictures, Canal+, Studio Image, Cofimage 4, Ossane, Phoenix Images",Jean-Pierre Jeunet
shanghai triad,"Drama, Crime","Ministère des Affaires Étrangères, Alpha Films, La Sept Cinéma",Zhang Yimou
dangerous minds,"Drama, Crime","Hollywood Pictures, Via Rosa Productions, Don Simpson/Jerry Bruckheimer Films",John N. Smith
twelve monkeys,"Science Fiction, Thriller, Mystery","Universal Pictures, Atlas Entertainment, Classico",Terry Gilliam
babe,"Fantasy, Drama, Comedy, Family","Universal Pictures, Kennedy Miller Productions",Chris Noonan
carrington,"History, Drama, Romance","StudioCanal, Cinéa, Euston Films, Freeway Films, European Co-production Fund, Polygram Filmed Entertainment, Orsans Productions",Christopher Hampton
dead man walking,Drama,"Havoc, PolyGram Filmed Entertainment, Working Title Films",Tim Robbins
across the sea of time,"Adventure, History, Drama, Family",Sony New Technologies,Stephen Low
it takes two,"Comedy, Family, Romance","Dualstar Productions, Warner Bros., Rysher Entertainment, Orr & Cruickshank",Andy Tennant
clueless,"Comedy, Drama, Romance",Paramount Pictures,Amy Heckerling
"cry, the beloved country",Drama,"Miramax, Distant Horizon, Alpine Pty Limited",Darrell James Roodt
richard iii,"Drama, War","British Screen, Mayfair Entertainment International",Richard Loncraine
dead presidents,"Action, Crime, Drama, History","Caravan Pictures, Underworld Entertainment, Hollywood Pictures",Albert Hughes
restoration,"Drama, Romance",Miramax Films,Michael Hoffman
mortal kombat,"Action, Fantasy","New Line Cinema, Threshold Entertainment",Paul W.S. Anderson
to die for,"Fantasy, Drama, Comedy, Thriller","The Rank Organisation, Columbia Pictures Corporation",Gus Van Sant
how to make an american quilt,"Drama, Romance","Universal Pictures, Amblin Entertainment",Jocelyn Moorhouse
se7en,"Crime, Mystery, Thriller","New Line Cinema, Juno Pix, Cecchi Gori Pictures",David Fincher
pocahontas,"Adventure, Animation, Drama, Family","Walt Disney Pictures, Walt Disney Feature Animation",Mike Gabriel
when night is falling,"Drama, Romance",Alliance Communications Corporation,Patricia Rozema
the usual suspects,"Drama, Crime, Thriller","Blue Parrot Productions, Bad Hat Harry Productions",Bryan Singer
